case,n,status,D_m,q,covered,true_source_contained
0,2,bounded,41.946380567304054,1.0000000000000027,True,True
0,3,bounded,25.018058574638296,1.0000000000000044,True,True
0,5,bounded,25.018058574638623,1.0,True,True
0,8,bounded,21.06669694094807,1.0,True,True
0,12,bounded,9.177746396713056,1.0068727489773888,False,True
1,2,bounded,24.429103592419168,1.0,True,True
1,3,bounded,9.423768624128227,1.0000000000000007,True,True
1,5,bounded,6.239589423669967,1.059622000168798,False,True
1,8,bounded,6.1667987329667895,1.0025373485682756,False,True
1,12,bounded,5.838589882570803,1.002537348568264,False,True
2,2,bounded,201.35531504774218,1.0,True,True
2,3,bounded,15.566635724632706,1.0000000000000064,True,True
2,5,bounded,15.566635724632722,1.0,True,True
2,8,bounded,3.0677230268919837,1.0635293674378867,False,True
2,12,bounded,3.0114498472122366,1.0619593270597243,False,True
3,2,bounded,33.10389389819248,1.0000000000000075,True,True
3,3,bounded,33.103893898192304,1.0000000000000022,True,True
3,5,bounded,3.2181671545420603,1.0000000000000346,True,True
3,8,bounded,3.2181671545419483,1.0,True,True
3,12,bounded,2.3513924722156894,1.0000000000000435,True,True
4,2,bounded,812.8119187756457,1.0000000000000002,True,True
4,3,bounded,86.35090283819218,1.0000000000000009,True,True
4,5,bounded,38.399773714586395,1.0000000000000024,True,True
4,8,bounded,16.718438426967204,1.0000000000000064,True,True
4,12,bounded,11.624976732948012,1.0000000000000084,True,True
5,2,bounded,4.6882403339402074,1.0000000000000184,True,True
5,3,bounded,4.688240333940189,1.0000000000000195,True,True
5,5,bounded,4.688240333940227,1.0000000000000198,True,True
5,8,bounded,4.688240333940111,1.0000000000000195,True,True
5,12,bounded,4.574548640252389,1.0000000000000246,True,True
6,2,bounded,47.505897292979306,1.0000000000000002,True,True
6,3,bounded,32.78366281893055,1.0000000000000016,True,True
6,5,bounded,17.761377709602876,1.000000000000003,True,True
6,8,bounded,13.861587243187511,1.0003704956187904,False,True
6,12,bounded,7.115638582726779,1.0202197706395117,False,True
