pose,case,strategy,S1_x,S1_y,G_x,G_y,R_true,e1,e2,bearing1,S2_x,S2_y,status,D_upper,D_lower,optical_guaranteed,bracket_width
center,0,minimax,0.0,0.0,-1128.6663675001669,365.79664201476584,1413.7809840429882,0.45968416227040376,-0.8714012322844238,162.50236437494576,-968.0490603016551,-266.8141625921245,direction,64.79940271962381,64.79940231940132,False,4.0022248981586017e-07
center,0,along_750,0.0,0.0,-1128.6663675001669,365.79664201476584,1413.7809840429882,0.45968416227040376,-0.8714012322844238,162.50236437494576,-715.2970191750474,225.49983228218142,direction,745.249573491757,745.2212460603137,False,0.028327431443358364
center,0,perpendicular_1000,0.0,0.0,-1128.6663675001669,365.79664201476584,1413.7809840429882,0.45968416227040376,-0.8714012322844238,162.50236437494576,-300.66644304290855,-953.7293589000632,no_signal,,,False,
center,0,random_omega,0.0,0.0,-1128.6663675001669,365.79664201476584,1413.7809840429882,0.45968416227040376,-0.8714012322844238,162.50236437494576,1142.2495985110222,-1335.733178413999,no_signal,,,False,
center,1,minimax,0.0,0.0,417.238167892596,896.3004154543136,1195.574778889742,0.8124205734604224,0.030705180972713686,65.84990021442113,-152.87243566592022,992.4408289284673,direction,45.206838750965005,45.206838430665066,False,3.202999394602557e-07
center,1,along_750,0.0,0.0,417.238167892596,896.3004154543136,1195.574778889742,0.8124205734604224,0.030705180972713686,65.84990021442113,306.846369040255,684.3575862126551,direction,557.9862315905559,557.9861289184497,False,0.00010267210620895639
center,1,perpendicular_1000,0.0,0.0,417.238167892596,896.3004154543136,1195.574778889742,0.8124205734604224,0.030705180972713686,65.84990021442113,-912.4767816168734,409.12849205367337,no_signal,,,False,
center,1,random_omega,0.0,0.0,417.238167892596,896.3004154543136,1195.574778889742,0.8124205734604224,0.030705180972713686,65.84990021442113,-1452.4657156579756,-1019.0136501984493,no_signal,,,False,
center,2,minimax,0.0,0.0,-64.4876817116632,164.1568269418521,1138.5410265672742,0.4982603034274542,-0.3671494232777981,111.945240623651,-821.0593596228103,578.0746564989981,direction,55.68013147860448,55.68013089593437,False,5.826701112709998e-07
center,2,along_750,0.0,0.0,-64.4876817116632,164.1568269418521,1138.5410265672742,0.4982603034274542,-0.3671494232777981,111.945240623651,-280.2902127958179,695.6560907595614,direction,740.0019920452195,740.0018038282319,False,0.00018821698756710248
