N,scene_idx,D_m,D_ref_m,R_star_m,R_star_ref_m,q,q_ref
16,0,55.328518,55.328518,27.664259,27.664259,1.000000,1.000000
16,1,96.754550,96.754550,48.377275,48.377275,1.000000,1.000000
16,2,44.440058,44.440058,22.220029,22.220029,1.000000,1.000000
16,3,12.789796,12.789796,6.394898,6.394898,1.000000,1.000000
16,4,13.646427,13.646427,6.823213,6.823213,1.000000,1.000000
16,5,53.488466,53.488466,26.744233,26.744233,1.000000,1.000000
16,6,11.215961,11.215961,5.608708,5.608708,1.000130,1.000130
16,7,30.117083,30.117083,15.058542,15.058542,1.000000,1.000000
16,8,39.305786,39.305786,19.652893,19.652893,1.000000,1.000000
16,9,54.435027,54.435027,27.217513,27.217513,1.000000,1.000000
16,10,20.748056,20.748056,10.457007,10.457007,1.007999,1.007999
16,11,18.815016,18.815016,9.407508,9.407508,1.000000,1.000000
16,12,10.792326,10.792326,5.396163,5.396163,1.000000,1.000000
16,13,4.393735,4.393735,2.196868,2.196868,1.000000,1.000000
16,14,28.775258,28.775258,14.387629,14.387629,1.000000,1.000000
16,15,3.162657,3.162657,1.623491,1.623491,1.026663,1.026663
16,16,25.244063,25.244063,12.622031,12.622031,1.000000,1.000000
16,17,100.493070,86.810892,50.246535,43.405446,1.000000,1.000000
16,18,34.439693,34.439693,17.320015,17.320015,1.005817,1.005817
16,19,66.436223,66.436223,33.218112,33.218112,1.000000,1.000000
16,20,10.686944,10.686944,5.343472,5.343472,1.000000,1.000000
16,21,18.382004,18.382004,9.191002,9.191002,1.000000,1.000000
16,22,37.022550,37.022550,18.511275,18.511275,1.000000,1.000000
16,23,36.335415,36.335415,18.167707,18.167707,1.000000,1.000000
16,24,16.004048,16.004048,8.002024,8.002024,1.000000,1.000000
16,25,4.518127,4.518127,2.274688,2.274688,1.006916,1.006916
16,26,61.809079,61.809079,30.904539,30.904539,1.000000,1.000000
16,27,32.654603,32.654603,16.327302,16.327302,1.000000,1.000000
16,28,25.564040,25.564040,12.782020,12.782020,1.000000,1.000000
16,29,30.906809,30.906809,16.002658,16.002658,1.035543,1.035543
16,30,252.858054,252.857141,126.429027,126.428571,1.000000,1.000000
16,31,26.574526,26.574526,13.287263,13.287263,1.000000,1.000000
16,32,59.352967,59.352967,29.676484,29.676484,1.000000,1.000000
16,33,31.854774,31.854774,15.927387,15.927387,1.000000,1.000000
16,34,41.622532,41.622532,20.811266,20.811266,1.000000,1.000000
16,35,19.338517,19.338517,9.669259,9.669259,1.000000,1.000000
16,36,61.499265,61.499265,30.749632,30.749632,1.000000,1.000000
16,37,41.322728,41.322728,20.661364,20.661364,1.000000,1.000000
16,38,16.705523,16.705523,8.562607,8.562607,1.025123,1.025123
16,39,0.841920,0.841920,0.420960,0.420960,1.000000,1.000000
16,40,23.299302,23.299302,11.649651,11.649651,1.000000,1.000000
16,41,9.589048,9.589048,4.794524,4.794524,1.000000,1.000000
16,42,23.492947,23.492947,11.746473,11.746473,1.000000,1.000000
16,43,30.058940,30.058940,15.029470,15.029470,1.000000,1.000000
16,44,22.014692,22.014692,11.007346,11.007346,1.000000,1.000000
16,45,25.273059,25.273059,12.637253,12.637253,1.000057,1.000057
16,46,25.395536,25.395536,12.697768,12.697768,1.000000,1.000000
16,47,9.840210,9.840210,5.001612,5.001612,1.016566,1.016566
16,48,65.921613,65.921613,32.960806,32.960806,1.000000,1.000000
16,49,59.126253,59.126253,29.604717,29.603876,1.001407,1.001378
16,50,136.283979,136.283979,68.141989,68.141989,1.000000,1.000000
16,51,45.143505,45.143505,23.045487,23.045487,1.020988,1.020988
16,52,45.094400,45.094400,22.547200,22.547200,1.000000,1.000000
16,53,38.492334,38.492334,19.246167,19.246167,1.000000,1.000000
16,54,69.411585,69.411585,34.705793,34.705793,1.000000,1.000000
16,55,31.115357,27.449535,15.557679,13.724767,1.000000,1.000000
16,56,25.672884,25.672884,12.836442,12.836442,1.000000,1.000000
16,57,33.615196,33.615196,16.807598,16.807598,1.000000,1.000000
16,58,45.268384,45.268384,22.634192,22.634192,1.000000,1.000000
16,59,17.871118,17.871118,8.935559,8.935559,1.000000,1.000000
16,60,46.471570,46.471570,23.235785,23.235785,1.000000,1.000000
16,61,63.497536,59.766269,31.748768,29.883134,1.000000,1.000000
16,62,8.954748,8.954748,4.477374,4.477374,1.000000,1.000000
16,63,29.384372,29.384372,14.692186,14.692186,1.000000,1.000000
16,64,63.852845,58.903523,31.926423,29.451762,1.000000,1.000000
16,65,73.519651,73.519651,36.759825,36.759825,1.000000,1.000000
16,66,4.692501,4.692501,2.347271,2.347271,1.000435,1.000435
16,67,8.109933,8.109933,4.054966,4.054966,1.000000,1.000000
16,68,132.819140,132.819140,66.409570,66.409570,1.000000,1.000000
16,69,7.973745,7.973745,4.043888,4.043888,1.014301,1.014301
16,70,28.721334,28.721334,14.360667,14.360667,1.000000,1.000000
16,71,20.972215,20.972215,10.486108,10.486108,1.000000,1.000000
16,72,39.040402,39.040402,19.520201,19.520201,1.000000,1.000000
16,73,15.367949,15.367949,7.683974,7.683974,1.000000,1.000000
16,74,46.160205,46.160205,23.080102,23.080102,1.000000,1.000000
16,75,13.398184,13.398184,6.699092,6.699092,1.000000,1.000000
16,76,21.941573,21.941573,10.970787,10.970787,1.000000,1.000000
16,77,19.928088,19.928088,9.964044,9.964044,1.000000,1.000000
16,78,30.810725,30.810725,15.405362,15.405362,1.000000,1.000000
16,79,12.636020,12.636020,6.318010,6.318010,1.000000,1.000000
16,80,64.371822,64.371822,32.185911,32.185911,1.000000,1.000000
