eps_deg,sample_idx,D_m,R_star_m,q
0.1,0,4.914257,2.457129,1.000000
0.1,1,2.335737,1.167869,1.000000
0.1,2,2.569156,1.284578,1.000000
0.1,3,1.767668,0.883834,1.000000
0.1,4,3.818580,1.909290,1.000000
0.1,5,2.173933,1.086966,1.000000
0.1,6,2.168949,1.084475,1.000000
0.1,7,5.706961,2.853480,1.000000
0.1,8,4.185671,2.115881,1.011012
0.1,9,4.729476,2.364738,1.000000
0.1,10,1.920686,0.960930,1.000611
0.1,11,1.771533,0.885767,1.000000
0.1,12,0.552913,0.276457,1.000000
0.1,13,2.291898,1.145949,1.000000
0.1,14,5.200287,2.600144,1.000000
0.1,15,4.039321,2.019661,1.000000
0.1,16,1.565219,0.782610,1.000000
0.1,17,2.021051,1.010526,1.000000
0.1,18,0.445200,0.222600,1.000000
0.1,19,0.755411,0.377705,1.000000
0.1,20,3.945840,1.972920,1.000000
0.1,21,4.814061,2.407030,1.000000
0.1,22,5.150895,2.586275,1.004204
0.1,23,3.274963,1.637508,1.000016
0.1,24,1.865846,0.932923,1.000000
0.1,25,2.231684,1.115842,1.000000
0.1,26,3.794260,1.897236,1.000056
0.1,27,1.124262,0.562131,1.000000
0.1,28,3.049459,1.524729,1.000000
0.1,29,2.403451,1.201726,1.000000
0.1,30,3.520585,1.760292,1.000000
0.1,31,3.226316,1.613158,1.000000
0.1,32,2.215692,1.109627,1.001608
0.1,33,0.497217,0.251703,1.012447
0.1,34,1.375670,0.687835,1.000000
0.1,35,1.310778,0.655655,1.000406
0.1,36,0.830788,0.415394,1.000000
0.1,37,3.492028,1.747767,1.001004
0.1,38,2.006282,1.003141,1.000000
0.1,39,1.528686,0.764343,1.000000
0.1,40,1.079501,0.539751,1.000000
0.1,41,3.076734,1.539312,1.000614
0.1,42,2.056401,1.028200,1.000000
0.1,43,6.616952,3.308476,1.000000
0.1,44,4.115010,2.057505,1.000000
0.1,45,1.129575,0.564787,1.000000
0.1,46,1.239250,0.619625,1.000000
0.1,47,4.168253,2.097154,1.006251
0.1,48,3.653391,1.826695,1.000000
0.1,49,0.746889,0.388540,1.040423
0.1,50,2.308582,1.154291,1.000000
0.1,51,3.098159,1.549079,1.000000
0.1,52,4.365186,2.182593,1.000000
0.1,53,3.723618,1.861809,1.000000
0.1,54,1.792825,0.896413,1.000000
0.1,55,1.252818,0.626409,1.000000
0.1,56,0.679967,0.357425,1.051301
0.1,57,1.624093,0.812046,1.000000
0.1,58,1.069299,0.534650,1.000000
0.1,59,6.001054,3.000527,1.000000
0.1,60,1.167187,0.583593,1.000000
0.1,61,1.421671,0.710947,1.000157
0.1,62,3.735231,1.875282,1.004105
0.1,63,0.290031,0.145015,1.000000
0.1,64,2.421405,1.210703,1.000000
0.1,65,1.286364,0.643182,1.000000
0.1,66,3.509380,1.754883,1.000110
0.1,67,1.202128,0.601064,1.000000
0.1,68,2.259865,1.129932,1.000000
0.1,69,1.294841,0.647421,1.000000
0.1,70,1.695378,0.847689,1.000000
0.1,71,0.537215,0.268608,1.000000
0.1,72,0.858107,0.429054,1.000000
0.1,73,2.481413,1.240706,1.000000
0.1,74,3.401972,1.700986,1.000000
0.1,75,1.395818,0.697909,1.000000
0.1,76,1.091256,0.549824,1.007690
0.1,77,0.757954,0.378977,1.000000
0.1,78,0.960228,0.484065,1.008230
0.1,79,5.580687,2.790343,1.000000
0.1,80,4.602923,2.301462,1.000000
0.1,81,4.744523,2.372261,1.000000
0.1,82,4.115204,2.057602,1.000000
0.1,83,3.263813,1.631906,1.000000
0.1,84,0.907128,0.453564,1.000000
0.1,85,2.137605,1.068803,1.000000
0.1,86,1.621664,0.810832,1.000000
0.1,87,4.154607,2.077304,1.000000
0.1,88,1.523745,0.761872,1.000000
0.1,89,2.759617,1.379808,1.000000
0.1,90,0.964478,0.482239,1.000000
0.1,91,0.710528,0.357037,1.004990
0.1,92,2.771449,1.385724,1.000000
0.1,93,1.934582,0.967291,1.000000
0.1,94,1.755832,0.877916,1.000000
0.1,95,1.515015,0.757508,1.000000
0.1,96,0.480977,0.240489,1.000000
0.1,97,0.696156,0.350138,1.005918
0.1,98,4.868135,2.434068,1.000000
0.1,99,1.917705,0.958852,1.000000
0.1,100,2.124355,1.074550,1.011648
0.1,101,1.816998,0.908499,1.000000
0.1,102,4.238081,2.125365,1.002984
0.1,103,1.589986,0.794993,1.000000
0.1,104,1.884246,0.942142,1.000020
0.1,105,0.524398,0.262199,1.000000
0.1,106,1.481187,0.740594,1.000000
0.1,107,2.100656,1.050328,1.000000
0.1,108,1.464393,0.732196,1.000000
0.1,109,3.720669,1.860335,1.000000
0.1,110,2.090023,1.045011,1.000000
0.1,111,3.006840,1.503420,1.000000
0.1,112,3.801513,1.920556,1.010417
0.1,113,5.409452,2.704726,1.000000
0.1,114,3.356114,1.678057,1.000000
0.1,115,0.868132,0.434066,1.000000
0.1,116,2.055297,1.027648,1.000000
0.1,117,4.896679,2.448339,1.000000
0.1,118,5.670457,2.835228,1.000000
0.1,119,2.136431,1.091862,1.022136
0.1,120,3.143637,1.571827,1.000005
0.1,121,3.085640,1.542820,1.000000
0.1,122,4.235081,2.117540,1.000000
0.1,123,0.803986,0.401993,1.000000
0.1,124,4.580312,2.290156,1.000000
0.1,125,4.084046,2.042023,1.000000
0.1,126,2.988697,1.494348,1.000000
0.1,127,1.906495,0.953248,1.000000
0.1,128,1.243981,0.621990,1.000000
0.1,129,1.890784,0.945392,1.000000
0.1,130,0.587547,0.293774,1.000000
0.1,131,1.354491,0.677246,1.000000
0.1,132,19.578439,9.789219,1.000000
0.1,133,0.282981,0.141490,1.000000
0.1,134,0.155296,0.077648,1.000000
0.1,135,5.788378,2.894189,1.000000
0.1,136,1.745349,0.872674,1.000000
0.1,137,3.820027,1.910014,1.000000
0.1,138,2.094195,1.048811,1.001636
0.1,139,0.918345,0.459173,1.000000
0.1,140,0.203548,0.101774,1.000000
0.1,141,4.029837,2.014919,1.000000
0.1,142,3.321568,1.660784,1.000000
0.1,143,0.541596,0.277423,1.024465
0.1,144,5.381102,2.690551,1.000000
0.1,145,1.687050,0.843525,1.000000
0.1,146,2.312297,1.156149,1.000000
0.1,147,2.993373,1.496687,1.000000
0.1,148,0.826523,0.421245,1.019319
0.1,149,4.321145,2.160572,1.000000
0.1,150,2.993215,1.496607,1.000000
0.1,151,0.912965,0.456483,1.000000
0.1,152,3.714135,1.857068,1.000000
0.1,153,1.383022,0.691511,1.000000
0.1,154,0.539644,0.270569,1.002769
0.1,155,3.412985,1.706493,1.000000
0.1,156,2.326742,1.163371,1.000000
0.1,157,3.951642,1.975821,1.000000
0.1,158,3.320808,1.665286,1.002940
0.1,159,1.509233,0.755724,1.001467
0.1,160,0.325092,0.162546,1.000000
0.1,161,0.773916,0.386958,1.000000
0.1,162,3.119291,1.559645,1.000000
0.1,163,1.807370,0.903685,1.000000
0.1,164,9.917445,4.958723,1.000000
0.1,165,1.478384,0.739192,1.000000
0.1,166,3.710518,1.855259,1.000000
0.1,167,2.418918,1.209459,1.000000
0.1,168,1.313618,0.656809,1.000000
0.1,169,5.255234,2.627617,1.000000
0.1,170,2.335255,1.167628,1.000000
0.1,171,2.758962,1.379481,1.000000
0.1,172,0.352587,0.176293,1.000000
0.1,173,1.843695,0.921848,1.000000
0.1,174,2.080797,1.040398,1.000000
0.1,175,1.141772,0.571580,1.001215
0.1,176,0.734584,0.367292,1.000000
0.1,177,2.578468,1.289261,1.000021
0.1,178,3.314155,1.657077,1.000000
0.1,179,1.153279,0.576639,1.000000
0.1,180,1.493650,0.746825,1.000000
